norad,name,gcat_name,gcat_mass,massflag,bus,shape,n_tle,n_rejected,da_dt_km_day,fit_resid_km,alt_km,rho_kg_m3,cd_am,am,ratio_to_toro2_tumbling,closest_hyp,unknown
68417,JACK-002,JACK-002,5.0,,Cubesat 3U,Box,70,0,-0.04493312331710566,0.007665313478810276,511.1503488463192,5.487210416852581e-13,0.018088287003173793,0.00822194863780627,1.0464298266298888,最大面迎風（帆板+本體）,False
68459,DB GME UT (DB-GLOBE MI*),DB-GLOBE MISSION EARTH-UT,0.5,,Thinsat 0.5U,Box+2 pan,67,0,-0.03815696741208762,0.008415310125201358,516.7412653583877,4.952196174661452e-13,0.017012984181778688,0.007733174628081221,0.9842222253921554,翻滾 + 帆板展開,False
68444,SHARJAH-SAT-2,SharjahSat-2,10.0,?,Cubesat 6U,Box,67,0,-0.040592505868239974,0.004451375540156732,512.5658897612741,5.339956632191981e-13,0.01678979816636901,0.007631726439258641,0.971310637723827,翻滾 + 帆板展開,False
68456,PARUS-6U1,Parus-6U1,10.0,?,Cubesat 6U,Box,66,0,-0.03703550695980469,0.006821193507676071,516.4978149766157,4.974964706409991e-13,0.016437686376732003,0.007471675625787273,0.9509405341911075,翻滾 + 帆板展開,False
68463,GARAI-B (UNAMUNO),GARAI B,115.0,,Innosat,Box,69,0,-0.03790463956130405,0.01109941564482142,515.3827212703148,5.094268255047871e-13,0.016430749082652137,0.007468522310296425,0.9505392031286358,翻滾 + 帆板展開,False
68424,SPACEVAN-002,SpaceVan-002,125.0,,MP42,Box+ 2 pan,74,0,-0.03855335101175509,0.006929989629497868,513.853182034814,5.228482463705309e-13,0.016284876803035767,0.0074022167286526205,0.9421003109194244,翻滾 + 帆板展開,False
68495,GRAVITAS,Gravitas,2000.0,,Gravitas,Box + 2 pan,39,9,-0.006299285421333233,0.00428182378072961,640.5001812280896,8.59997552993685e-14,0.016029950281736722,0.007286341037153055,0.9273524956376614,翻滾 + 帆板展開,False
68432,NUSAT-53 (JANE GOODALL),Jane Goodall,41.5,,Newsat V,Box,71,0,-0.03782159356226128,0.006236772108422883,513.3664610778799,5.259639830870332e-13,0.01588170594710463,0.007218957248683922,0.9187763771052264,翻滾 + 帆板展開,False
68442,NUSAT-54 (BRANCA MARQU*),Branca Marques,41.5,,Newsat V,Box,71,0,-0.03580292576474947,0.006190380133375584,515.7881071318113,5.051091816915109e-13,0.015652000122488057,0.007114545510221844,0.905487610391871,翻滾 + 帆板展開,False
68499,SERT3,SERT3,130.0,,Muon Halo,Box+ 2 pan,75,0,-0.010902575573421247,0.0015914051264189766,595.0262689198156,1.5990578606477009e-13,0.01496977049203583,0.006804441132743559,0.8660197805309984,翻滾 + 帆板展開,False
68486,VINDLER 2.3,Vindler 2.0.3,130.0,?,Muon Halo,Box+ 2 pan,75,0,-0.010841499297717654,0.0018968546319229063,593.8105664016541,1.63325207594643e-13,0.014575530234649506,0.006625241015749775,0.8432124929136077,翻滾 + 帆板展開,False
68433,T.MICROSAT-2,T.MICROSAT-2,10.0,?,Cubesat 6U,Box,69,0,-0.03268137662792713,0.006225025783351157,516.726371252558,4.954645567407722e-13,0.014564425540922606,0.0066201934276920935,0.8425700726153573,翻滾 + 帆板展開,False
68423,SPOQC,SPOQC,20.0,?,Cubesat 12U,Box,68,0,-0.0349452151543634,0.005123818538777414,512.2843055682011,5.384183660774274e-13,0.01433552136688351,0.00651614607585614,0.8293276823816905,翻滾 + 帆板展開,False
68443,DB-WALI-WMU,DB-WALI-WMU,0.5,,Thinsat 0.5U,Box+2 pan,69,0,-0.03196828169979433,0.005702177778402984,515.9796151357984,5.034140826765468e-13,0.014022390883503062,0.006373814037955936,0.8112126957398463,翻滾 + 帆板展開,False
68425,ERMIS-3,ERMIS 3,10.0,?,Cubesat 6U,Box,68,0,-0.03375137615045852,0.0044461472475632036,512.550355683545,5.346303192025226e-13,0.013943599371766572,0.00633799971443935,0.8066545091104627,翻滾 + 帆板展開,False
68455,DB CHARMS ND,DB-CHARMS-ND,0.5,,Thinsat 0.5U,Box+2 pan,69,0,-0.03116020365511642,0.005279099292238243,516.6379450863453,4.962461495640891e-13,0.013864723917357465,0.006302147235162483,0.8020914662934069,翻滾 + 帆板展開,False
68464,FGN-100-D3,FGN-100-D3,113.0,,FGN-100,Box,70,0,-0.03189923846358243,0.004780906227551895,515.3111581255805,5.107043540039715e-13,0.013793067531855857,0.006269576150843571,0.797946055561909,翻滾 + 帆板展開,False
68445,DB SKYFORGE CORE TU,DB-SKYFORGE CORE-TU,0.5,,Thinsat 0.5U,Box+2 pan,70,0,-0.027155599474051714,0.005393091082623869,516.494862846959,4.992534864268497e-13,0.012010200158763765,0.005459181890347165,0.6948049678623665,翻滾 + 帆板展開,False
68421,VIREON-2,Vireon 2,20.0,?,Cubesat 16U EPIC,Box,69,0,-0.02846827248425427,0.0040263568253067206,512.1124031705496,5.405675710804874e-13,0.01163219570391365,0.005287361683597113,0.6729369415487234,翻滾 + 帆板展開,False
68422,BRO-19,BRO 19,15.0,?,Cubesat 8U,Box,65,0,-0.028220873410339953,0.028952449843927752,512.1025923631096,5.407037767429215e-13,0.01152822751172356,0.005240103414419799,0.666922252744338,翻滾 + 帆板展開,False
68434,VIREON-1,Vireon 1,20.0,?,Cubesat 16U EPIC,Box,66,0,-0.02719686498649639,0.0029420284276966413,512.6603325554345,5.335448126504854e-13,0.011258514333117121,0.005117506515053237,0.6513190110067756,翻滾 + 帆板展開,False
68441,HAWK-14C,Hawk 14C,31.0,?,Hawk2G,Box + 2 pan,57,0,-0.02619709201418372,0.05017647504519118,513.9314979183129,5.222465916748925e-13,0.011078229012643704,0.005035558642110774,0.6408892817231894,翻滾 + 帆板展開,False
68428,OUT OF THE BOX (OOTB),Out Of The Box,20.0,?,Cubesat 16U,Box,69,0,-0.0265214536695198,0.003412292923712812,513.0591598137571,5.296467204562691e-13,0.011059399686852683,0.00502699985766031,0.6397999818840394,翻滾 + 帆板展開,False
68448,HAWK-14A,Hawk 14A,31.0,?,Hawk2G,Box + 2 pan,63,0,-0.02519700287443198,0.0031212221774694626,513.8397382245264,5.222397240229065e-13,0.010655519948272628,0.0048434181583057396,0.6164350383298214,翻滾 + 帆板展開,False
68436,HAWK-14B,Hawk 14B,31.0,?,Hawk2G,Box + 2 pan,66,3,-0.023413105330223248,0.005067859072369174,514.159070827621,5.196691384894278e-13,0.0099499943876132,0.004522724721642364,0.5756195100272099,受控、最小面迎風,False
68465,HOTSAT-2,Hotsat-2,130.0,,DarkCarb,Box+cone+1 pan?,73,0,-0.02160698696440084,0.0030018896559340646,515.5496532301811,5.087144913295883e-13,0.00937913793801063,0.004263244517277559,0.5425947567444165,受控、最小面迎風,False
68419,FEMTO-1,ARQSAT-1,1.0,?,Cubesat 1U?,Box,69,0,-0.022274809911011294,0.0026260430586262373,511.6067245949931,5.450742486832397e-13,0.009026598661080843,0.004102999391400383,0.5221999225418669,受控、最小面迎風,False
68469,(no current TLE),W-6,250.0,?,VW,Trunc cone,25,33,-0.02311153309804992,0.004192195957330114,506.39757106942125,5.816627533787054e-13,0.008779940091637732,0.003990881859835332,0.5079304185244968,受控、最小面迎風,False
68435,ION SCV-019 (ASTOUNDIN*),ION SCV Astounding Alexandra,150.0,,ION-SC,Box,71,0,-0.019741765597236175,0.002903009009969537,514.387283702102,5.177300152582783e-13,0.008420941045484591,0.0038277004752202684,0.48716187866439775,受控、最小面迎風,False
68478,FOSSASAT-2E25,FossaSat 2E-25,5.0,,Cubesat 3U,Box,71,0,-0.0060289733774011225,0.002260431870126922,593.0523833955926,1.6557882848660376e-13,0.007995581139390064,0.0036343550633591197,0.4625542807911607,受控、最小面迎風,False
68418,OPTISAT,Optisat,10.0,?,Cubesat 6U,Box,69,0,-0.01886387375287853,0.006648611026321305,511.6597518117821,5.434981520973425e-13,0.007666499583758478,0.0034847725380720354,0.44351650484553173,受控、最小面迎風,False
68472,FLYLAB1,Flylab-1,15.0,?,Cubesat 8U,Box+ 4 pan,64,0,-0.0028893693539067044,0.0037196793814473494,596.8666592408923,1.5444107828001343e-13,0.004107100541697063,0.001866863882589574,0.2376008577841276,受控、最小面迎風,False
